កករចិត្ត	កករ-ចិត្ត
កាពីទែន	កា-ពី-ទែន
កាព្យនិទាន	កាព្យ-និទាន
កាព្យមាត្រ	កាព្យ-មាត្រ
កាព្យរស	កាព្យ-រស
កាព្យសាស្ត្រ	កាព្យ-សាស្ត្រ
កាមគុណ	កាម-គុណ
កាមតណ្ហា	កាម-តណ្ហា
កាមទុក្ខ	កាម-ទុក្ខ
កាមទេព	កាម-ទេព
កាមបង្កៈ	កាម-បង្កៈ
កាមបរិឡាហៈ	កាម-បរិឡាហៈ
កាមភោគិនី	កាម-ភោគិនី
កាមភោគិសេយ្យា	កាម-ភោគិសេយ្យា
កាមភោគី	កាម-ភោគី
កាមយោគ	កាម-យោគ
កាមរតិ	កាម-រតិ
កាមរាគ	កាម-រាគ
កាមរាគានុស័យ	កាម-រាគានុស័យ
កាមរូបារម្មណ៍	កាម-រូបារម្មណ៍
កាមរោគ	កាម-រោគ
កាមវិតក្ក	កាម-វិតក្ក
កាមវិយោគ	កាម-វិយោគ
កាមសិនេហៈ	កាម-សិនេហៈ
កាមសុខ	កាម-សុខ
កាមសុខល្លិកានុយោគ	កាម-សុខល្លិកានុយោគ
កាមស្នេហា	កាម-ស្នេហា
កាមាទីនព	កាមា-ទី-នព
កាមាទីនវៈ	កាមា-ទី-នវៈ
កាមាវចរ	កាមាវច-រ
កាមាសវៈ	កាមា-សវៈ
កាមុបាទាន	កា-មុ-បា-ទាន
កាមេរ៉ា	កា-មេ-រ៉ា
កាមេសនា	កា-មេស-នា
កាមោឃៈ	កា-មោឃៈ
កាម៉ុង	កា-ម៉ុង
កាយកប់លុបលាង	កាយ-កប់-លុបលាង
កាយគតាសតិ	កាយ-គតា-សតិ
កាយគន្ថៈ	កាយ-គន្ថៈ
កាយប្បសាទ	កាយ-ប្ប-សា-ទ
កាយពន្ធន៍	កាយ-ពន្ធន៍
កាយមុទ្រា	កាយ-មុទ្រា
កាយមោនេយ្យៈ	កាយ-មោនេយ្យៈ
កាយរូបារម្មណ៍	កាយ-រូបារម្មណ៍
កាយវន្ទនា	កាយ-វន្ទនា
កាយវប្បកម្ម	កាយ-វប្បកម្ម
កាយវិកល	កាយ-វិកល
កាយវិការ	កាយ-វិការ
កាយវិញ្ញត្តិ	កាយ-វិញ្ញត្តិ
កាយវិញ្ញាណ	កាយ-វិញ្ញាណ
កាយវិភាគវិទ្យា	កាយវិភាគ-វិទ្យា
កាយវិវេក	កាយ-វិវេក
កាយសង្ខារ	កាយ-សង្ខារ
កាយសមុដ្ឋាន	កាយ-សមុដ្ឋាន
កាយសម្បទា	កាយ-សម្បទា
កាយសម្ផស្ស	កាយ-សម្ផស្ស
កាយសម្ព័ន្ធ	កាយ-សម្ព័ន្ធ
កាយសិក្សា	កាយ-សិក្សា
កាយសុខ	កាយ-សុខ
កាយសុចរិត	កាយ-សុចរិត
កាយសោចេយ្យៈ	កាយ-សោចេយ្យៈ
កាយឫទ្ធិ	កាយ-ឫទ្ធិ
កាយិកទុក្ខ	កាយិក-ទុក្ខ
កាយិកសុខ	កាយិក-សុខ
ការកនាម	ការ-ក-នាម
ការកេត	ការ-កេត
ការងារ	ការ-ងារ
ការងារងាស់	ការងារ-ងាស់
ការជួល	ការ-ជួល
ការដ្ឋាន	ការ-ដ្ឋាន
ការដ្ឋានសំណង់	ការដ្ឋាន-សំណង់
ការណនិយម	កា-រណនិយម
ការទូត	ការ-ទូត
ការបង្កើតថ្មី	ការបង្កើត-ថ្មី
