word	status	source	decision	note
កុម្មុយនិស្ត	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កុម្មុយនិស្តនិយម	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កុម្ម៉ង់ដេ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កុស	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កុំបាច់	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កុំបី	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កុំប៉ុស	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កុំប៊ីណេ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កុំមក	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កុំអាល	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កុំអី	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូក	approved	reviewed	standard	no Chuon definition; legacy word
កូដករ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូដុង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូនកេប	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូនក្រុម	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូនគូលី	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូនចៃ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូនជីង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូនជើង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូនញី	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូនប្រុស	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូនស	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូនសេះ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូនស្រី	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូប្រា	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូយ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូរណា	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូរនំ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូរពោះ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូរវឹក	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូរហែវ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូរ៉េ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូលេស	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូល៉ុស	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូឡា	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូឡាប	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូឡុំបូ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូឡុំប៊ី	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូអរដោណេ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កូ៎ក	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កួង	approved	reviewed	standard	no Chuon definition; legacy word
កើក	approved	reviewed	standard	no Chuon definition; legacy word
កើតទោស	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កើតទោសា	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កើតទោសោ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កើនពេល	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កៀកក	approved	reviewed	standard	no Chuon definition; legacy word
កៀនកោះ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កៀនជញ្ជាំង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កៀបស៊ី	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កេងកិប	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កេត	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កេនយ៉ា	approved	unknown	standard	no Chuon definition; legacy word
កេនរ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កេរកោះ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កេសរសីហ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កេះកៀវ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កេះកៃ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
